io,cpu,mix,totalexectime,deltatimemix
27,204,18,204,211
27,205,18,205,211
26,202,18,203,209
27,204,18,204,210
27,205,18,206,212
27,207,18,207,208
27,202,19,203,210
27,205,18,205,211
27,205,19,205,211
27,207,19,207,212
